novice,n_ratios,accuracy,auroc,precision,recall,f1,threshold
Nonlinear CNN,2,0.5712270803949224,0.4748564593301436,0.263681592039801,0.2535885167464115,0.25853658536585367,62194931.2030315
Nonlinear CNN,5,0.5988779803646563,0.48604089747230905,0.27380952380952384,0.21904761904761905,0.2433862433862434,57280998.406063005
Nonlinear CNN,8,0.6255259467040674,0.48309665814636005,0.23853211009174313,0.12380952380952381,0.16300940438871472,62194931.2030315
Nonlinear CNN,10,0.6521739130434783,0.4699138502319417,0.27380952380952384,0.10952380952380952,0.1564625850340136,62194931.2030315
Nonlinear CNN,15,0.6858345021037868,0.4902537158004355,0.3541666666666667,0.08095238095238096,0.13178294573643412,57280998.406063005
Nonlinear CNN,20,0.7040673211781207,0.4995171826185742,0.47058823529411764,0.0380952380952381,0.07048458149779736,62194931.2030315
Nonlinear CNN,25,0.7026647966339411,0.49761904761904757,0.25,0.004761904761904762,0.009345794392523366,57280998.406063005
Nonlinear CNN,28,0.7040673211781207,0.5008141626431886,0.0,0.0,0.0,62194931.2030315
SegFormer-B5 (rand),2,0.5963172804532578,0.489491059413513,0.25925925925925924,0.2028985507246377,0.22764227642276422,62194931.2030315
SegFormer-B5 (rand),5,0.6169014084507042,0.49651892387473856,0.2765957446808511,0.18660287081339713,0.22285714285714286,57280998.406063005
SegFormer-B5 (rand),8,0.6573033707865169,0.49727281350787333,0.32653061224489793,0.1523809523809524,0.2077922077922078,62194931.2030315
SegFormer-B5 (rand),10,0.667601683029453,0.5068730474297075,0.3246753246753247,0.11904761904761904,0.17421602787456444,62194931.2030315
SegFormer-B5 (rand),15,0.6872370266479664,0.5018460664583925,0.34146341463414637,0.06666666666666667,0.11155378486055778,57280998.406063005
SegFormer-B5 (rand),20,0.697054698457223,0.5189150809429139,0.2857142857142857,0.01904761904761905,0.03571428571428572,62194931.2030315
SegFormer-B5 (rand),25,0.7040673211781207,0.5072943292625202,0.3333333333333333,0.004761904761904762,0.009389671361502348,52367065.6090945
SegFormer-B5 (rand),28,0.7040673211781207,0.5016803938275111,0.0,0.0,0.0,57280998.406063005
