novice,label,filename,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio_11,ratio_12,ratio_13,ratio_14,ratio_15,ratio_16,ratio_17,ratio_18,ratio_19,ratio_20,ratio_21,ratio_22,ratio_23,ratio_24,ratio_25,ratio_26,ratio_27,ratio_28
Nonlinear CNN,ID,tubingen_000000_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,30011996.359358,27397079.002972,27397079.002972,25364766.416008,23726566.406063,21221686.142648,20234083.817726
Nonlinear CNN,ID,tubingen_000001_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,27397079.002972,23726566.406063,23726566.406063,21221686.142648,21221686.142648,19372660.347705,19372660.347705
Nonlinear CNN,ID,tubingen_000002_000019_leftImg8bit.png,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,27397079.002972,27397079.002972,25364766.416008,23726566.406063,23726566.406063,20234083.817726
Nonlinear CNN,ID,tubingen_000003_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,27397079.002972,27397079.002972,27397079.002972,25364766.416008,23726566.406063,23726566.406063,22369621.333333
Nonlinear CNN,ID,tubingen_000004_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,27397079.002972,25364766.416008,23726566.406063,23726566.406063
Nonlinear CNN,ID,tubingen_000005_000019_leftImg8bit.png,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,25364766.416008,25364766.416008,23726566.406063,22369621.333333,22369621.333333,22369621.333333
Nonlinear CNN,ID,tubingen_000006_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,27397079.002972,27397079.002972,25364766.416008,25364766.416008,25364766.416008,22369621.333333,20234083.817726
Nonlinear CNN,ID,tubingen_000007_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,30011996.359358,25364766.416008,25364766.416008,23726566.406063
Nonlinear CNN,ID,tubingen_000008_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,25364766.416008,25364766.416008,25364766.416008,25364766.416008,25364766.416008,21221686.142648
Nonlinear CNN,ID,tubingen_000009_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,30011996.359358,30011996.359358,25364766.416008,25364766.416008,23726566.406063,23726566.406063,22369621.333333,22369621.333333
